,authors,ArticleTitle,journal_title,volume,date,pubmed,doi_pii_str,abstract
62,"L. Techasatian, W. Thaowandee, J. Chaiyarit, R. Uppala, P. Sitthikarnkha, W. Paibool, B. Charoenwat, P. Wongmast, N. Laoaroon, C. Suphakunpinyo, P. Kiatchoosakun and P. Kosalaraksa, ","""Hand Hygiene Habits and Prevalence of Hand Eczema During the COVID-19 Pandemic."", ",Journal of primary care & community health ,12 ,(2021). ,PUBMED: 34009056; ,DOI 10.1177/21501327211018013.,"This study aimed to explore the prevalence of and possible risk factors for hand eczema with respect to the dissemination of information about new hand hygiene habits to protect against ongoing COVID-19 cross-transmission. The authors conducted a survey among health care workers (HCWs) and non-HCW populations in Khon Kaen, Thailand."
63,,"""Atopic eczema."", ",Paediatric nursing ,20(2) ,(Mar. 2008). ,PUBMED: 18350857; ,,
64,"K. Matsumoto and H. Saito, ","""Epicutaneous immunity and onset of allergic diseases - per-""eczema""tous sensitization drives the allergy march."", ",Allergology international : official journal of the Japanese Society of Allergology ,62(3) ,(Sep. 2013). ,PUBMED: 23974875; ,DOI 10.2332/allergolint.13-RAI-0603.,"Results from recent epidemiological studies strongly suggest that ingestion of food promotes immune tolerance to food antigens, whereas exposure to food antigens through skin leads to allergic sensitization. A ""dual-allergen-exposure hypothesis"" has been proposed to explain those findings. However, several other recent studies have demonstrated that some allergic diseases can be successfully treated by recurrent epicutaneous exposure to allergens. At a glance, these two sets of findings seem to be contradictory, but we think they provide important clues for understanding the mechanisms behind the allergy march. Here, we propose that per-""eczema""tous sensitization drives the allergy march, and we introduce results from several published studies in support of this hypothesis. We hope that this review may help in establishment of new strategies for preventing the allergy march in the near future."
65,"JF. Silvestre Salvador, F. Heras Mendaza, M. Hervella Garcés, D. Palacios-Martínez, R. Sánchez Camacho, R. Senan Sanz, A. Apellaniz González and AM. Giménez-Arnau, ","""Guidelines for the Diagnosis, Treatment, and Prevention of Hand Eczema."", ",Actas dermo-sifiliograficas ,111(1) ,(Jan. 2020). ,PUBMED: 32197684; ,DOI 10.1016/j.ad.2019.04.005.,"Hand eczema is a common condition associated with significantly impaired quality of life and high social and occupational costs. Managing hand eczema is particularly challenging for primary care and occupational health physicians as the condition has varying causes and both disease progression and response to treatment are difficult to predict. Early diagnosis and appropriate protective measures are essential to prevent progression to chronic eczema, which is much more difficult to treat. Appropriate referral to a specialist and opportune evaluation of the need for sick leave are crucial to the good management of these patients. These guidelines cover the diagnosis, prevention, and treatment of chronic hand eczema and highlight the role that primary care and occupational health physicians can play in the early management of this disease."
66,"TL. Diepgen, P. Elsner, S. Schliemann, M. Fartasch, A. Köllner, C. Skudlik, SM. John and M. Worm, ","""Guideline on the management of hand eczema ICD-10 Code: L20. L23. L24. L25. L30."", ",Journal der Deutschen Dermatologischen Gesellschaft = Journal of the German Society of Dermatology : JDDG ,7 Suppl 3 ,(May. 2009). ,PUBMED: 19522920; ,DOI 10.1111/j.1610-0387.2009.07061.x.,
67,"OF. Jillson, ","""Nummular (orbicular) eczema."", ",Cutis ,31(2) ,(Feb. 1983). ,PUBMED: 6831924; ,,
68,"K. Abuabara and DJ. Margolis, ","""Do children really outgrow their eczema, or is there more than one eczema?,"" ",The Journal of allergy and clinical immunology ,132(5) ,(Nov. 2013). ,PUBMED: 24094545; ,DOI 10.1016/j.jaci.2013.08.028.,
69,"AM. Van Coevorden, PJ. Coenraads, A. Svensson, JN. Bavinck, TL. Diepgen, L. Naldi, P. Elsner and HC. Williams, ","""Overview of studies of treatments for hand eczema-the EDEN hand eczema survey."", ",The British journal of dermatology ,151(2) ,(Aug. 2004). ,PUBMED: 15327553; ,,"Hand eczema is a major cause of morbidity and lost earnings. Many interventions ranging from topical steroids to oral ciclosporin are used, but their evidence base and the best methods to assess their efficacy are uncertain."
70,"V. Kataria, D. Pandhi and SN. Bhattacharya, ","""A cross-sectional study to analyze the clinical subtype, contact sensitization and impact of disease severity on quality of life and cost of illness in patients of hand eczema."", ","Indian journal of dermatology, venereology and leprology ",86(6) ,(2020). ,PUBMED: 32594026; ,DOI 10.4103/ijdvl.IJDVL_333_18.,"The high incidence, chronicity, frequent recurrences and severity of hand eczema leads to a massive impact on the quality of life. Despite great medical and socioeconomic importance, there is a paucity of data that addresses the cost of illness and economic factors associated with hand eczema. Most of the studies have originated from Europe and none have been reported from India."
71,"S. Beukers and PG. van der Valk, ","""Idiopathic post-traumatic eczema."", ",Contact dermatitis ,54(3) ,(Mar. 2006). ,PUBMED: 16524449; ,,
72,"Z. Takci, G. Guler Simsek, H. Uzuner, A. Akbayrak, H. Yıldız Seckin and AS. Karadag, ","""Dyshidrotic eczema and seborrheic dermatitis-like eczematous eruption following intravenous immunoglobulin therapy."", ",Dermatologic therapy ,33(6) ,(Nov. 2020). ,PUBMED: 32767429; ,DOI 10.1111/dth.14147.,"Intravenous immunoglobulin (IVIg) is increasingly used for the treatment of inflammatory and autoimmune diseases. Although skin reactions to IVIg therapy are usually minor, rare, and not life-threatening, dermatologists need to recognize the nature of these adverse reactions. We describe a 33-year-old man suffering from demyelinating polyneuropathy who developed dyshidrotic eczema on the palms and flaky grayish-white scales on an erythematous base on his face after the administration of IVIg."
73,"WE. De Launey, ","""Eczema: Causes and management."", ",Drugs ,6(5) ,(1973). ,PUBMED: 4787757; ,,
74,"E. Hadida and J. Sayag, ","""Eczema."", ",Marseille medical ,105(2) ,(1968). ,PUBMED: 5739877; ,,
75,"J. Van Onselen, ","""Eczema and older people: introducing the TalkingEczema tool."", ",British journal of community nursing ,22(2) ,(Feb. 2017). ,PUBMED: 28161974; ,DOI 10.12968/bjcn.2017.22.2.62.,
76,"CH. Katelaris and JE. Peake, ","""5. Allergy and the skin: eczema and chronic urticaria."", ",The Medical journal of Australia ,185(9) ,(Nov. 2006). ,PUBMED: 17137459; ,,"Eczema is common, occurring in 15%-20% of infants and young children. For some infants it can be a severe chronic illness with a major impact on the child's general health and on the family. A minority of children will continue to have eczema as adults. The exact cause of eczema is not clear, but precipitating or aggravating factors may include food allergens (most commonly, egg) or environmental allergens/irritants, climatic conditions, stress and genetic predisposition. Management of eczema consists of education; avoidance of triggers and allergens; liberal use of emollients or topical steroids to control inflammation; use of antihistamines to reduce itch; and treatment of infection if present. Treatment with systemic agents may be required in severe cases, but must be supervised by an immunologist. Urticaria (""hives"") may affect up to a quarter of people at some time in their lives. Acute urticaria is more common in children, while chronic urticaria is more common in adults. Chronic urticaria is not life-threatening, but the associated pruritus and unsightly weals can cause patients much distress and significantly affect their daily lives. Angioedema coexists with urticaria in about 50% of patients. It typically affects the lips, eyelids, palms, soles and genitalia. Management of urticaria is through education; avoidance of triggers and allergens (where relevant); use of antihistamines to reduce itch; and short-term use of corticosteroids when antihistamine therapy is ineffective. Referral is indicated for patients with resistant disease."
77,"NK. Veien and T. Menne, ","""Treatment of hand eczema."", ",Skin therapy letter ,8(5) ,(Jun. 2003). ,PUBMED: 12910323; ,,"Hand eczema is a common skin disease that tends to become chronic and may interfere with many types of work. Emollients have been shown to be useful in reducing eczema activity and in the primary prevention of hand eczema. Protection of the hands is very important for the prevention of hand eczema and is a fundamental aspect of the treatment of hand eczema. Although topical corticosteroids are the mainstay of treatment, few studies of their rational use, efficacy and side-effects have been conducted. A combination of tacrolimus and topical corticosteroids may reduce the risk of steroid-associated side-effects. Systemic treatment with immunosuppressants such as cyclosporine and methotrexate show promising results, and acitretin may suppress keratotic hand eczema. Botulinum toxin has been used with success in the treatment of dyshidrotic hand eczema. PUVA is effective as a systemic treatment. Bath-PUVA treatment, UVB and Grenz rays can also suppress hand eczema."
78,"A. Wollenberg, K. Kerschenlohr, T. Pavicic and EM. Messmer, ","""Diagnosis and treatment of eyelid eczema. An interdisciplinary challenge."", ","Der Hautarzt; Zeitschrift fur Dermatologie, Venerologie, und verwandte Gebiete ",55(7) ,(Jul. 2004). ,PUBMED: 15197462; ,,"Eyelid eczemas are clinically and therapeutically clearly delineated, but remain a pathogenetically heterogeneous entity. The anatomic and functional conditions in the periorbital region make treatment difficult. Thus, in addition to frequent resistance to therapy and a tendency to recur, they pose a considerable diagnostic and therapeutic challenge to dermatologists and ophthalmologists. Even a comparatively small area of eyelid eczema can cause substantial suffering because of the burdensome symptoms and high aesthetic significance of this body region. This interdisciplinary overview deals in particular with current pathogenetic and therapeutic aspects of eyelid eczemas."
79,"CA. Ramsay and AK. Black, ","""Photosensitive eczema."", ",Transactions of the St. John's Hospital Dermatological Society ,59(2) ,(1973). ,PUBMED: 4793618; ,,
80,"E. Sedlis, PH. Prose and LE. Holt, ","""Infantile eczema."", ",Postgraduate medicine ,40(1) ,(Jul. 1966). ,PUBMED: 5945689; ,,
81,"JI. Silverberg, E. Guttman-Yassky, T. Agner, R. Bissonnette, DE. Cohen, E. Simpson, A. Wollenberg and JP. Thyssen, ","""Chronic Hand Eczema Guidelines From an Expert Panel of the International Eczema Council."", ","Dermatitis : contact, atopic, occupational, drug ",32(5) ,,PUBMED: 32991335; ,DOI 10.1097/DER.0000000000000659.,Assessment of chronic hand eczema (CHE) is complex and warrants standardization.
82,"HC. Williams, ","""Eczema across the world: the missing piece of the jigsaw revealed."", ",The Journal of investigative dermatology ,131(1) ,(Jan. 2011). ,PUBMED: 21157423; ,DOI 10.1038/jid.2010.333.,"Cleverly using records obtained from the 2003 National Survey of Children's Health (NSCH), Shaw et al. provide a pioneering glimpse into the burden of eczema across the United States. Using parental reports of a doctor's diagnosis of eczema in the past 12 months, the authors show that eczema affects around 9-18% of children age 17 and under. The study confirms reported associations such as living in metropolitan areas, higher household education level, and black ethnicity. Novel findings include the demonstration of higher eczema prevalence along the East Coast. The study correlates well with previous reports and may help point to environmental factors that contribute to the development of eczema."
83,"EV. Ivanov, ","""Varicose eczema: the etiology, pathogenesis and diagnosis. Part II."", ",Angiologiia i sosudistaia khirurgiia = Angiology and vascular surgery ,11(2) ,(2005). ,PUBMED: 16037814; ,,"Varicose eczema is a frequently occurring complication due to chronic venous insufficiency. In view of the fact that the complicated forms of chronic venous insufficiency (classes 4-6 according to the clinical classification CEAP) are associated with the presence of dermatological lesions, the reliable diagnosis of the given pathology presents a matter of great concern. For the phlebologist end, not infrequently, for the dermatologist the diagnosis of varicose eczema may be difficult because of the diversity of its manifestations. Also, there is a number of diseases that look like varicose eczema but require a different approach to the treatment. The Russian literature practically lacks the works related to varicose eczema. The problems of the diagnosis and treatment including the organizational aspects have not been worked out. The surgeons hold that this disease is dermatological whereas the dermatologists view it as surgical. As a result, the majority of patients do not receive adequate treatment. The paper describes the phlebologist's standpoint of the problem of varicose eczema. Part II of the paper reviews the differential diagnosis of varicose eczema."
84,"WE. Beer, ","""Eczema exacerbated by smoking."", ",Contact dermatitis ,10(1) ,(Jan. 1984). ,PUBMED: 6705523; ,,
85,"I. Altekrueger and AB. Ackerman, ","""""Eczema"" revisited. A status report based upon current textbooks of dermatology."", ",The American Journal of dermatopathology ,16(5) ,(Oct. 1994). ,PUBMED: 7802166; ,,
86,"PE. Martin, JK. Eckert, JJ. Koplin, AJ. Lowe, LC. Gurrin, SC. Dharmage, P. Vuillermin, ML. Tang, AL. Ponsonby, M. Matheson, DJ. Hill and KJ. Allen, ","""Which infants with eczema are at risk of food allergy? Results from a population-based cohort."", ",Clinical and experimental allergy : journal of the British Society for Allergy and Clinical Immunology ,45(1) ,(Jan. 2015). ,PUBMED: 25210971; ,DOI 10.1111/cea.12406.,"The relationship between early onset eczema and food allergy among infants has never been examined in a population-based sample using the gold standard for diagnosis, oral food challenge."
87,"A. Bhanot, TJ. Peters and MJ. Ridd, ","""Assessing the validity, responsiveness and reliability of the Recap measure of eczema control."", ",The British journal of dermatology ,184(5) ,(May. 2021). ,PUBMED: 33270215; ,DOI 10.1111/bjd.19709.,
88,"B. Malcolm, ","""Childhood eczema: empowering the parent."", ",The Practitioner ,241(1575) ,(Jun. 1997). ,PUBMED: 9230515; ,,
89,"JF. Fowler, ","""Addition of nonspecific endogenous eczema to the nomenclature of dermatitis."", ",Archives of dermatology ,144(2) ,(Feb. 2008). ,PUBMED: 18283184; ,DOI 10.1001/archdermatol.2007.29.,
90,"M. Hussarek, ","""Ear eczema from the otologic-dermatologic viewpoint."", ",Monatsschrift fur Ohrenheilkunde und Laryngo-Rhinologie ,100(11) ,(Nov. 1966). ,PUBMED: 16114371; ,,
91,"P. Témime, Y. Privat and J. Follana, ","""Palmoplantar eczema."", ",La Revue du praticien ,22(17) ,(Jun. 1972). ,PUBMED: 4647355; ,,
92,,"""Acute eczema."", ",Concours medical ,87(24) ,(Jun. 1965). ,PUBMED: 5841796; ,,
93,"G. Aitken and F. de Paillerets, ","""Infant eczema."", ",La Revue du praticien ,27(49) ,(Nov. 1977). ,PUBMED: 601460; ,,
94,"HC. Williams and SG. Johansson, ","""Two types of eczema--or are there?,"" ",The Journal of allergy and clinical immunology ,116(5) ,(Nov. 2005). ,PUBMED: 16275377; ,,
95,"ST. ANNING, ","""Drug treatment of eczema."", ",British medical journal ,2(5159) ,(Nov. 1959). ,PUBMED: 13793753; ,,
96,"M. Langley-Hobbs, ","""Eczema in young infants: developing a protocol for the primary health care team."", ",Professional care of mother and child ,9(6) ,(1999). ,PUBMED: 10855229; ,,
97,"DM. Gaunt, C. Metcalfe and M. Ridd, ","""The Patient-Oriented Eczema Measure in young children: responsiveness and minimal clinically important difference."", ",Allergy ,71(11) ,(Nov. 2016). ,PUBMED: 27232584; ,DOI 10.1111/all.12942.,"The Patient-Oriented Eczema Measure (POEM) has been recommended as the core patient-reported outcome measure for trials of eczema treatments. Using data from the Choice of Moisturiser for Eczema Treatment randomized feasibility study, we assess the responsiveness to change and determine the minimal clinically important difference (MCID) of the POEM in young children with eczema."
98,,"""Eczema professionals."", ",Journal des praticiens; revue generale de clinique et de therapeutique ,63(39) ,(Sep. 1949). ,PUBMED: 15390685; ,,
99,"R. Suhonen, ","""Diagnosis and treatment of hand eczema."", ",Duodecim; laaketieteellinen aikakauskirja ,109(5) ,(1993). ,PUBMED: 8020411; ,,
